Date,Total Rainfall (mm),Mean Wind Speed (km/h),Mean Amount of Cloud (%),Sun,Humidity
2020-12-09,0,5.2,88.0,0.3,71
2020-12-10,0,4.6,88.0,1.9,78
2020-12-11,0.5,4.5,81.0,4.0,82
2020-12-12,0,4.7,88.0,0.7,84
2020-12-13,0,7.8,86.0,2.3,78
2020-12-14,0,7.5,88.0,0.8,80
2020-12-15,0,8.3,88.0,0.4,72
2020-12-16,0,6.1,88.0,0.0,71
2020-12-17,0,6.5,88.0,0.0,71
2020-12-18,0,9.4,81.0,8.0,68
2020-12-19,0,9.7,70.0,5.1,63
2020-12-20,0,10.5,80.0,5.6,59
2020-12-21,0,7.5,79.0,9.4,58
2020-12-22,0,6.1,84.0,3.4,66
2020-12-23,1.5,5.2,88.0,0.1,83
2020-12-24,0,5.8,67.0,7.4,76
2020-12-25,0,7.8,84.0,4.9,77
2020-12-26,0,10.1,42.0,9.4,79
2020-12-27,0,4.4,24.0,9.4,71
2020-12-28,0,6.4,46.0,9.3,69
2020-12-29,0,8.0,30.0,9.4,75
2020-12-30,0,18.1,21.0,9.5,50
2020-12-31,0,11.8,15.0,9.6,37
2021-01-01,0,7.2,14.0,9.6,40
2021-01-02,0,5.8,12.0,9.6,52
2021-01-03,0,5.9,54.0,9.2,65
2021-01-04,0,5.5,87.0,2.9,66
2021-01-05,0,4.8,60.0,5.3,65
2021-01-06,0,6.4,68.0,5.9,72
2021-01-07,0,10.8,88.0,2.0,67
2021-01-08,0,12.7,88.0,0.0,52
2021-01-09,0,9.0,84.0,2.7,38
2021-01-10,0,9.2,88.0,0.9,40
2021-01-11,0,12.4,88.0,0.0,44
2021-01-12,0,11.0,8.0,9.7,33
2021-01-13,0,3.3,11.0,9.7,48
2021-01-14,0,3.0,18.0,9.7,55
2021-01-15,0,3.3,26.0,9.7,59
2021-01-16,0,7.4,69.0,9.2,68
2021-01-17,0,11.5,39.0,9.0,58
2021-01-18,0,6.1,5.0,9.6,53
2021-01-19,0,6.0,50.0,4.6,64
2021-01-20,0,7.3,85.0,3.4,69
2021-01-21,0,5.0,69.0,5.0,73
2021-01-22,0,3.9,61.0,9.8,80
2021-01-23,0,5.8,24.0,8.5,78
2021-01-24,0,7.8,73.0,4.6,83
2021-01-25,0,5.4,28.0,9.9,74
2021-01-26,0,4.0,9.0,9.4,78
2021-01-27,0,6.4,46.0,8.3,77
2021-01-28,0,7.0,27.0,8.8,70
2021-01-29,0,9.5,11.0,10.1,60
2021-01-30,0,7.2,27.0,10.0,68
2021-01-31,0,5.6,31.0,10.2,67
2021-02-01,0,4.2,19.0,10.1,76
2021-02-02,0,6.5,21.0,10.2,76
2021-02-03,0,8.6,25.0,10.2,69
2021-02-04,0,5.8,11.0,10.2,68
2021-02-05,0,6.3,30.0,10.2,72
2021-02-06,0,3.7,3.0,10.2,73
2021-02-07,0,3.5,13.0,10.4,74
2021-02-08,0,8.8,75.0,2.1,79
2021-02-09,0.5,10.3,88.0,0.3,76
2021-02-10,30.5,8.9,90.0,0.0,89
2021-02-11,0,7.4,78.0,0.4,78
2021-02-12,0,4.7,28.0,9.8,69
2021-02-13,0,3.2,62.0,7.5,76
2021-02-14,1,3.3,28.0,10.4,75
2021-02-15,0,5.5,8.0,10.6,70
2021-02-16,0,5.9,20.0,10.6,71
2021-02-17,0,8.6,23.0,9.4,70
2021-02-18,0,7.7,18.0,10.4,65
2021-02-19,0,5.0,7.0,10.4,66
2021-02-20,0,3.5,40.0,10.4,73
2021-02-21,0,3.3,20.0,10.7,74
2021-02-22,0,4.1,8.0,10.6,78
2021-02-23,0,6.3,9.0,10.6,74
2021-02-24,0,9.2,88.0,2.9,79
2021-02-25,1,4.9,74.0,1.4,85
2021-02-26,11,3.8,84.0,2.6,86
2021-02-27,3,6.8,88.0,0.0,89
2021-02-28,0,6.4,86.0,2.5,83
2021-03-01,0,4.8,78.0,5.1,81
2021-03-02,0.5,9.0,59.0,8.7,75
2021-03-03,0.5,8.1,88.0,0.3,81
2021-03-04,3.5,6.2,93.0,0.0,87
2021-03-05,0,8.3,88.0,0.1,91
2021-03-06,3,6.7,93.0,0.1,93
2021-03-07,0,6.1,88.0,0.0,90
2021-03-08,2,7.3,83.0,3.6,83
2021-03-09,0,6.3,55.0,4.0,79
2021-03-10,0,8.1,87.0,1.2,79
2021-03-11,0,7.8,64.0,7.1,79
2021-03-12,0,5.0,32.0,10.3,77
2021-03-13,0,9.1,57.0,6.3,76
2021-03-14,0,5.9,76.0,3.9,80
2021-03-15,0,7.4,46.0,9.9,76
2021-03-16,0,5.4,22.0,10.2,78
